area_sqm,method,location,cost
209.05163303828832,0,0,38259.29
405.4773846989136,2,2,282412.09
646.511143260785,0,1,146108.29
250.62142265800605,2,1,119515.15
321.55576994397006,2,0,145699.56
271.5681385807055,2,2,193727.66
759.6528078994916,0,2,204684.92
896.1477684528762,2,2,635547.23
715.263877741783,2,2,510588.01
136.29404237836502,0,0,22165.79
534.6527433269458,0,1,127167.59
983.6108258665604,2,2,654092.37
785.3165366159892,1,2,337818.3
783.1366371607158,1,1,247802.26
753.3387807406376,2,1,408399.8
320.17795935648735,2,0,138009.29
679.8353752003883,0,2,187503.85
772.9931330078489,2,2,507713.46
219.88706388294295,1,1,71419.57
199.3542796933098,2,0,81347.94
71.74524928653508,0,1,14685.35
975.5573627900329,1,2,394289.39
584.4317311335827,2,2,400714.87
248.2230344635301,2,0,100168.64
429.7357137298641,2,0,162436.58
923.964417547512,2,0,372512.76
264.1346786760518,2,0,110775.71
653.0738298699074,1,1,231079.28
906.201045161047,1,2,359224.08
775.5086426243084,0,1,173859.11
109.67385498419465,1,1,37256.12
11.766025059438572,1,1,3845.4
393.45432213686365,1,2,158370.11
359.38441209545806,0,0,62703.59
371.41961860044853,0,2,108249.86
260.08225021369765,1,2,111888.06
105.57059173525761,2,2,77530.02
133.8919548077531,1,2,58985.82
564.1207459598662,1,0,157501.76
193.98370355533007,2,2,136048.72
736.1354141061452,2,0,295464.24
86.09463090428538,2,0,35451.13
328.8530252285638,1,2,128972.52
249.18370175956653,0,0,44713.02
78.43632883156108,2,0,27886.84
631.7648804976068,0,2,171463.78
325.48443878185583,1,1,113959.83
361.4427887795651,0,1,80543.55
212.28745914539275,0,1,49134.03
297.37176561930016,1,0,74117.79
928.5947422083784,2,1,476640.71
988.2657666649643,0,0,173445.69
989.2250973698183,2,0,435304.6
314.54092071156765,2,0,140408.23
817.5777652332204,1,0,219404.91
536.0559715449887,0,2,173391.4
621.0147987900857,0,0,104692.72
942.7872136174781,2,0,406984.86
759.1206209438881,1,1,257260.52
722.9820635881584,0,2,203004.38
239.90753348720546,1,0,62308.2
958.1198017650732,0,0,185178.89
809.0896523234306,0,2,246187.51
27.656633078523114,2,2,18549.4
218.20623225957678,0,2,64764.77
157.94758721802086,1,1,51111.32
716.4508140938992,0,1,164778.36
786.0654141283336,1,1,207446.26
986.2859841251234,0,1,205169.16
923.0277141830534,0,1,217213.44
145.90708454182206,1,0,39625.76
909.2100788489869,2,2,631307.48
453.85853613701727,2,1,204433.1
832.7719732960302,2,1,459687.99
371.94627216221545,0,2,106008.87
338.57138033318296,2,0,136840.07
609.8209607862026,2,2,387042.96
730.0498404403555,1,0,197281.43
588.9611391918642,0,2,167924.85
344.480843968423,1,0,96338.01
67.11065978112129,1,0,16970.45
543.3515227092129,0,1,110664.75
893.1964460039916,2,1,470178.69
638.9503871393192,0,1,140634.13
962.9620998966017,1,1,318682.96
412.7892516323428,2,2,276744.35
304.519408682324,2,2,211960.02
627.6550655575576,1,0,153844.05
74.31033211855014,2,0,32645.33
164.2273430967557,1,2,80619.16
570.0865289303251,2,1,272099.81
849.8452848223928,0,0,153296.64
