volume_cuft,grade,location,season,cost
303.4215043111641,2,0,3,2011167.35
305.47507814272893,0,2,2,1918672.71
306.8838414341312,2,2,2,2378274.92
359.6147191035133,1,0,1,1829666.05
316.359479861451,2,1,3,2820786.14
397.2397905062921,2,2,0,3970478.73
14.080982007550213,1,0,2,68434.49
455.6164696327227,0,1,1,2832332.16
209.14723463163446,1,0,1,1100768.39
205.76755833946766,1,2,3,1955864.08
183.6539281769449,0,0,0,824931.05
394.47483266639887,1,2,3,3816745.9
269.7649732996501,0,2,1,1974532.04
311.55821795693134,0,0,3,1619733.74
459.7579777352951,1,1,3,3276406.6
264.5898221594275,1,2,1,2508042.91
445.80324581550815,1,1,3,3459769.55
140.7413279344611,1,0,1,728615.02
383.57448218931296,2,0,1,2537739.28
206.79095878000268,0,0,1,904550.78
101.2519215953576,0,1,2,542524.05
162.22188302679723,1,1,0,988462.2
284.77889399370787,1,0,1,1579270.9
210.33281051220024,1,2,2,1582193.16
24.251635667758304,1,1,2,145436.8
492.42658939406306,2,1,3,4081324.0
416.77857427862364,1,0,1,2226394.33
131.5758159379917,2,1,0,961019.27
155.35098772464522,2,1,3,1313271.96
205.72795754981854,2,0,1,1401244.46
124.47081669570147,1,0,3,771780.3
153.89789327576952,2,1,3,1254543.49
170.47203899962923,2,1,3,1429595.77
94.57210097782834,2,0,1,620500.51
22.959136784071323,2,0,2,113401.58
231.5307177566985,2,1,0,1650983.16
198.03260727914045,1,0,0,998177.8
479.6662737956247,2,1,1,3981509.42
201.92961704813595,1,2,1,1757125.11
295.64379366341046,2,2,1,3154142.97
201.59177110014483,1,2,1,1609956.81
450.4682891569181,0,2,0,3445566.66
174.18918395197088,1,0,1,909472.65
78.83825757066352,2,2,3,758513.83
72.24040984589188,2,0,2,409853.96
389.95862174823753,2,2,0,3523497.9
80.97099119974646,1,0,3,443785.47
477.07719776677135,0,2,0,3324212.57
392.1468713006596,0,2,0,2504357.05
123.19639185015816,2,1,3,971978.88
442.6284174522116,1,2,3,3782120.67
38.32835478107862,0,1,3,235221.35
335.84335338986426,0,1,1,2123747.33
269.13733357497375,0,0,0,1258939.73
57.4221679060683,2,0,1,376971.34
98.70686057926467,0,0,0,411121.66
458.8497243244022,2,2,1,4138503.56
74.52400479031806,2,1,0,567142.24
482.7102134695021,2,2,2,4017096.53
256.85163619597853,0,1,1,1496384.0
439.7548007388993,2,2,3,4838372.8
222.31109740991195,1,0,3,1280502.87
23.601922011222726,1,2,0,209572.83
413.35667773477473,0,2,3,3757385.29
202.56464296079082,0,1,2,1080393.99
239.07038973507292,1,2,2,1851975.6
121.33630161886265,2,1,1,958823.42
478.3801164132408,1,1,3,3307014.45
214.59164362134874,0,2,3,1657065.08
463.8983124703494,2,0,1,2797955.21
366.5369245848621,2,0,1,2394940.46
59.089454157632694,0,0,3,307480.44
242.8132843687485,1,0,1,1250368.42
127.06720384320282,0,2,2,892079.23
354.70652538677166,2,1,0,2694267.87
175.11041921679757,0,1,0,929895.23
75.92972497495646,0,0,1,409670.18
79.7557796978799,0,2,2,510507.45
52.08807606276194,0,2,2,317587.88
333.2282189038262,1,2,0,2561893.38
178.65255448955273,0,1,3,1275318.77
213.65884724195803,1,2,1,1956200.03
359.4801969745203,0,1,3,2351508.71
153.400865964307,1,0,1,776666.88
226.0227547630969,2,1,0,1643053.24
62.76264192725402,0,2,2,421469.59
285.4146339363737,1,1,0,1782075.33
44.86917460471199,1,0,0,210757.38
152.7602822059265,0,1,2,788518.81
353.33432653477826,2,2,0,3114821.12
280.6425121006372,2,0,3,2022087.51
263.17076678037256,1,2,2,1891312.8
375.19995713106,1,1,2,1971456.05
406.23525644790243,0,2,1,3047373.03
187.24437917467498,0,1,0,1028272.21
453.01733314765943,1,2,0,3677718.85
253.0674758900206,2,2,3,2700038.91
353.19398123441664,2,0,2,1948411.11
353.3059519160785,2,0,2,1813890.89
435.1037826280019,1,1,2,2377659.23
349.8737911855494,2,1,3,2790174.17
394.1314133380812,1,2,3,3743109.11
439.9928512960268,2,1,0,3139522.89
190.81452942197856,0,1,1,1277998.39
275.7519788439018,1,2,1,2470555.15
356.7177130820741,2,2,0,3301929.77
225.02093254055393,1,1,0,1384531.47
236.19822380823464,0,0,3,1283902.54
344.65551237880817,2,0,3,2360578.38
103.65217553305455,2,0,0,597328.7
214.73108789589236,0,0,2,847579.33
279.72962202283156,1,2,0,2197457.77
34.20470715577338,1,1,2,205835.87
131.1628418162017,2,0,2,646405.91
484.77535501700646,2,1,0,3563216.81
376.3175404044519,1,2,0,3168687.85
280.1247853315855,0,2,1,2275516.05
54.98053126116221,1,1,3,364724.05
245.8482741609917,2,0,0,1575152.62
81.3311773567306,2,0,3,560684.54
82.7773023838067,0,1,1,505729.08
315.92084406517085,1,2,0,2678824.88
394.4972198855785,1,0,1,2088133.01
9.598154080888694,0,1,2,43960.09
81.17021126410994,2,0,3,502664.92
452.0118747908792,2,2,1,4716252.88
329.32997441222545,1,2,0,2515355.73
426.39535191432293,1,0,2,1931318.67
236.97391035686175,1,0,1,1436334.38
234.577356990143,2,2,1,2581489.26
238.69175868802435,1,1,1,1638174.04
62.4457284571938,2,1,1,503034.87
10.259183315665188,1,1,0,66183.11
33.361569288769736,2,0,0,181354.64
24.65271434363736,1,1,1,171632.31
434.24562242167076,1,2,3,4084600.32
176.11846052120103,2,0,1,1060858.1
477.31942673487697,1,0,2,1995876.04
431.4598556192344,0,2,0,3197369.42
235.8989825643862,2,0,1,1519409.35
46.94917053806584,1,1,3,335780.08
299.9501942859196,1,2,3,2896658.65
234.98794919418052,2,2,1,2578754.88
99.3927677853417,1,1,2,588455.98
319.95620533338075,1,0,2,1414042.36
453.7548633922059,1,1,1,2969521.53
238.9106954219581,2,0,3,1492408.38
439.56742594135596,2,2,3,4878507.84
18.867838568353005,2,0,2,96055.68
334.6868780302223,2,0,3,2021149.09
353.0602586915597,1,0,3,2078954.48
22.718080820430714,0,2,1,183561.1
123.58604804578111,2,2,0,1091003.57
176.93684131515067,0,2,3,1375011.52
296.3522799717334,1,2,1,2674964.52
230.00910903186104,1,1,2,1355021.39
137.30321136828303,1,2,2,960350.53
448.9418826779401,2,0,3,2725461.95
144.5282570019973,1,1,1,948076.65
380.0564122401236,0,0,1,1801922.7
243.34180856741352,0,0,1,1194606.95
363.15859358367425,1,0,0,1967658.44
185.55017047227437,2,2,3,2095050.89
307.71598090077407,2,1,0,2206996.75
265.05540111971106,2,1,0,1874552.84
194.63533510530658,2,2,3,2308828.51
321.24394008049853,0,0,1,1538181.6
113.47246048534501,1,2,0,939150.44
464.26806784077735,2,0,2,2583028.01
5.62219275409994,1,0,2,26227.5
284.57822337054523,2,2,0,2549276.0
227.21058723325896,0,0,3,1157169.36
392.9476235944162,0,0,0,1850528.27
5.18104227730936,1,1,3,40353.3
81.57615907651964,0,1,1,484811.03
384.57410087820637,1,1,2,2285427.1
257.57981401696117,0,1,0,1295932.37
392.6342727550097,0,1,3,2409854.25
89.8059583530921,2,2,0,822417.32
413.0333857174951,0,2,0,3189612.8
87.47109055764503,1,0,2,350454.51
144.46689908333553,0,2,0,956656.94
206.80565683883853,2,1,3,1794431.56
291.5566751492505,1,2,0,2547310.88
139.2144121623506,2,1,1,1052691.64
462.43082818961955,1,2,0,3933261.01
397.72202515828303,0,1,0,2244664.52
459.2634332072193,0,1,3,2660524.87
379.0279720047143,2,2,2,3050471.63
227.05807546819415,0,0,1,1286051.5
405.4795699795064,2,0,0,2164446.52
336.25929719541296,0,2,2,2160068.6
90.31011915847495,1,2,2,729435.59
298.78969662847396,2,0,3,1710446.33
136.73025397049403,1,0,1,775630.22
463.7149116432968,2,1,3,4085993.27
496.95365920383756,2,1,2,3296153.38
290.2834127094965,1,1,1,1846464.14
467.02684492100997,0,2,2,3018248.32
494.016814435273,2,1,2,3459271.55
191.3258698395374,1,1,2,1050402.09
182.5056366905561,2,1,0,1313793.84
63.503904729832875,2,2,2,583964.16
101.85846301484769,1,1,1,740262.04
343.95680297638006,0,2,2,2119982.33
61.77003935545084,0,0,0,272007.67
322.05754162120024,1,1,3,2340811.27
328.1449654437942,2,1,2,1995167.5
380.63249747734034,1,1,1,2844685.27
465.6123351651307,0,2,0,3661638.89
407.51973074930663,0,1,3,2739436.56
330.53962240349887,0,0,0,1402554.55
469.35943670686476,0,2,2,3537373.6
160.9962254937694,1,2,3,1466328.61
94.7317806698706,0,1,3,639101.76
336.5756542015985,2,1,2,2567957.63
467.6597259848265,0,0,2,1803683.59
103.39326542733154,1,0,1,491025.19
291.26393306695843,0,2,0,2004029.91
472.76914726939793,1,1,0,2902277.21
212.4786223907101,1,0,1,1157659.09
53.473736142999066,2,2,0,511051.72
239.395166755165,1,2,3,2256607.34
240.34488684239085,1,1,3,1858253.62
198.7431037717126,0,2,3,1674908.65
23.1702719862582,0,1,3,145417.94
176.69442214346734,1,1,1,1150158.98
320.8253786312007,2,2,0,3113637.87
486.290736309201,0,0,0,2086805.26
122.35198002695738,1,0,3,709375.99
47.15177413302342,0,0,3,220116.07
130.77639564381204,0,0,2,479730.76
341.97465163459395,2,0,2,1811258.45
28.38244502386921,2,0,2,149866.78
96.51097230290536,0,2,2,635081.23
245.21493400951124,2,2,3,2467008.37
43.35671051030158,2,1,3,306367.92
446.1086600821809,1,2,3,4120494.62
327.2143254892577,0,0,0,1333328.56
15.079275793399676,1,0,3,89974.8
452.65947525762067,0,1,2,2189023.77
