volume_cuft,soil_type,depth_m,location,cost
438.47292325123783,1,6.332662740901077,0,2273876.71
422.31120423274723,0,2.282791385904871,1,2052682.25
578.3232107559882,2,6.812406617333886,2,7108015.63
650.2043147463335,1,4.059832481323054,0,2912575.95
577.8673770161438,1,1.6416343913717697,2,3390595.99
603.9898619567817,0,1.5781867004922456,2,3879196.03
368.5901070939875,0,6.667743321772392,2,3836254.41
549.341897855013,1,3.956045836691362,1,3108751.31
88.57805415824352,1,4.5210745146773945,2,540831.74
408.65642761193754,0,6.112578109300068,0,2455063.84
254.6291384898844,1,5.732025069830366,1,1454689.14
106.8586491806284,0,3.131897731610312,2,845937.42
12.044262351224077,1,4.3992488439923845,1,55989.25
710.8945332048437,1,4.460257054287961,0,3267191.28
656.9477383712831,2,4.592070784499555,1,6238134.16
337.42293878966353,2,2.0475700800340504,0,2006014.39
562.2480607916591,2,2.1762477077642286,0,3379857.1
533.0438709231074,2,2.2784832550488,1,4104403.43
484.5829753560386,1,4.441546852440322,0,2443733.52
613.4552195479371,2,6.072651133142026,1,5883629.16
403.39311211187504,1,6.944129631339032,2,3634380.96
318.9066226609998,2,2.843692218668293,2,2907190.95
670.490977731891,0,4.601070432821956,1,4352791.96
610.4950965469801,0,6.526700040920707,1,4789529.34
136.25602418106104,1,4.2262201587099995,1,774100.67
493.4897183267854,2,2.214812579438238,0,2782916.57
34.838169236735425,0,5.081048007069478,1,263245.13
527.782903970985,0,6.408544739964254,2,5076904.05
720.4572486893132,0,4.054928921574968,0,3948582.9
596.4288660357076,1,4.679742845114497,1,3171001.95
483.3333629781285,0,6.412581052496057,2,4306954.43
783.8311610103793,1,2.7282135896948123,1,3483408.35
164.55392991687816,1,6.871173752049257,0,838410.04
699.6437342352162,1,6.773627265220304,0,3836768.52
194.51588330011379,0,5.92977798683102,1,1728367.61
747.9509815587685,2,4.708533520184259,0,4537975.43
282.5318602839762,1,4.112806293731469,1,1544949.08
234.8844906456108,2,6.736280042786181,2,3348177.61
264.21656756833795,1,6.833867452055092,2,2554345.73
711.808918835044,0,6.104843826461336,1,5494274.01
218.5726919058613,0,5.433841411570528,1,1601549.61
793.3388251290247,2,4.1853198872366715,0,5594306.24
701.8767567192583,0,1.8546369594332908,1,3900982.28
354.3452692719239,2,2.6732192595241813,1,2691542.29
342.47560445882186,1,5.076295675301415,2,2566642.63
163.051213806318,1,4.591528957324526,0,696833.85
704.9102078324898,2,3.300680452581011,0,5131265.27
242.9131995310016,1,4.438051738536483,0,1194519.22
613.2572380866206,1,2.7297337865956526,0,2866139.9
17.33540509867718,2,3.3518509265722765,2,196653.78
149.24794473301904,0,2.245755014586014,0,650235.6
228.14872539983264,2,2.216017494053217,2,2087629.82
580.8359180216345,2,6.375546673182557,0,5014276.93
774.474293640819,2,4.592712215061134,2,8986735.25
656.9113254204973,2,5.82391376598619,2,8016785.13
151.17993790278143,0,1.9521078484487229,0,720428.19
144.79717849692213,2,4.602888544016331,0,988479.87
268.95280397934783,1,3.9945284662440335,2,2015570.75
648.4123739139936,1,5.078733039809375,0,3180929.06
779.7383872578912,1,5.8864794250084,1,6090137.09
653.1837460248107,0,5.995252874324798,2,6767928.31
348.95658974837653,2,3.6149127821840876,2,3541618.18
437.6371609856333,2,3.96123812647625,1,3608582.33
542.8819650674478,1,2.810079016829764,2,4087680.44
716.2887262790817,0,5.013751864959337,0,3830558.97
604.6987538563395,1,3.1404962883799157,2,3874960.07
229.7184152510339,1,6.214871972631721,0,1098648.41
495.5672547754127,0,3.166267291846915,0,2544375.22
52.908002031094135,2,1.754853461934597,1,369328.25
650.0706710549275,0,1.6144028786291575,1,3285223.09
586.6577826295226,0,3.533121324857416,0,3008154.93
187.27862907151317,0,3.1514830086942145,0,879666.99
527.0587903808317,0,2.478661733851589,2,4323163.68
340.0398717531462,1,4.381120621584428,0,1442767.48
158.37310526015784,1,6.308539186759254,1,1016199.41
310.06123597042387,0,3.6659200233062,0,1403938.35
733.8666941943268,0,6.755934913980934,1,6481782.92
197.1205050925518,2,3.0812597177802172,2,1943705.47
405.3725615877728,0,6.13008076396384,1,3419128.45
441.33944358116884,2,4.578739718327919,0,3396339.55
95.7545375003937,1,3.061920804808227,2,675929.53
14.600429566330185,0,4.614440840968173,0,80597.22
746.951575290136,1,2.0999888093236714,2,4820098.45
389.7954575869226,1,4.774678554502849,0,1929146.64
443.447901237841,2,1.729160184759486,1,3264689.0
642.671070664539,0,5.16173355892005,2,5014303.0
493.3474046867283,2,5.435847567895168,2,6646708.5
163.46995991391054,0,2.210202483813136,2,1219933.15
701.2079699925115,2,5.7741962568971275,2,8127115.92
245.97872726632164,1,5.051498672704401,0,1096668.33
241.60224667117305,2,6.777542000070909,1,2682947.08
478.9174454209245,1,1.9171385388798108,2,2600863.39
477.5037986735951,1,5.307831711063571,2,3771311.94
508.6069433968316,2,1.9339135229766522,1,3691383.18
209.87548110579985,2,6.270734868566506,0,1599136.54
796.4632179819173,1,4.759094254512317,2,6578250.79
356.04336586771797,2,6.709396041970788,1,3726121.23
582.8784747011424,2,3.030611982636614,2,6449427.37
293.23252436953464,1,3.176697417249049,1,1617351.98
137.44710775652425,1,5.146798276491433,1,871579.06
85.157686864766,2,2.573877303231459,2,887359.35
784.0774779840801,2,6.018354613396555,0,6537895.53
416.9540123658104,1,5.479596849518924,2,3264150.4
638.8642177230314,1,4.676813722881216,0,2625795.63
19.44383392744497,2,4.26297112416507,1,159698.52
508.7226279365317,0,3.4204051422936312,0,2247801.62
612.8211242442551,2,2.8729054361279402,1,4923860.35
125.10384064925078,0,5.473558138008342,2,1050448.63
474.9434425605635,2,1.728744560268943,1,3170428.68
164.93461869449837,2,6.355744073272423,2,2398568.71
423.5792875295934,1,2.9743322767618716,1,2000947.53
329.7522578063166,1,5.127893684183352,0,1527276.05
637.8941760452749,0,3.9161222379041742,1,4158997.63
120.56884526065768,0,3.172728780170842,2,932002.59
336.08495157821443,0,5.116223397208555,1,2003891.28
283.6553238335677,0,1.9496460223741203,1,1394744.69
88.93915751829128,2,1.8313079435165804,0,575237.89
628.2344640625942,2,6.188175514775352,0,5471632.95
797.1052999864146,0,4.107668414175409,2,6230719.43
373.59288624185837,1,5.7249536642988295,2,2850932.49
17.591585176255734,1,2.6377952358630257,0,69814.22
112.88892623232142,1,2.2022527627506947,2,646288.82
372.518637952366,0,3.3820363178727977,0,2257550.74
52.001459267899364,1,5.137318029370712,0,248392.51
709.3716245534952,2,4.673378075079817,1,6450196.35
352.23202036574145,2,3.099493878994533,2,3893815.97
304.0201484722063,2,6.521591807290369,0,2826654.88
574.4593884153425,2,5.417853372282233,1,4858155.35
713.797811623898,1,3.659124806049186,2,5243541.78
451.09498514411655,0,5.334727905827556,2,4068862.03
402.0933030253604,0,4.010768445926725,1,2587349.17
670.7406196025247,1,6.242253646558247,0,3807309.13
554.2169279144379,1,6.702599431039885,1,3940698.7
566.1359368704128,0,5.590983559575611,0,2703191.62
366.10429892036217,2,2.4355961056600774,2,3372156.3
670.5723777480804,0,6.861050070360289,0,4117465.32
414.1805120842872,2,1.8472773460204337,1,2779378.65
335.91892540133716,1,5.756451184771862,0,1619677.04
284.4085081746094,0,5.344582508645962,2,2367999.0
748.494999383773,0,1.9337429482047748,1,4390414.71
787.5244307405138,0,4.076416411977485,0,4862317.25
584.1631942684423,0,4.920022871537949,1,3884997.01
625.7235974387482,0,2.010709660715315,1,3457601.66
742.4020834031645,0,4.186328878840519,0,3822582.38
20.42126612830485,1,2.277508567629885,0,79839.27
510.093742045168,0,4.553420807377028,2,5301993.87
615.9813981242553,2,6.009290990309515,0,4633196.85
166.94943252773248,1,3.72900810392738,1,893628.73
618.2929681170266,2,4.464127851444173,1,6145527.49
527.8866919178154,0,3.600586440021848,0,2941412.93
354.63239421609893,2,6.957124135308747,2,4345775.22
148.6584224034651,2,1.7602602394888718,1,972988.9
108.0253348716048,2,6.133292322158476,0,894151.19
243.1772767131405,1,4.08014453279937,1,1360933.13
705.9937598633365,1,6.173999393041109,0,3787275.19
549.3834530076837,0,5.012930080290149,0,3083812.09
177.65833336218495,0,2.8918503697875986,0,798861.42
523.7753482307735,1,1.8083530711477622,1,2273949.64
395.6687168002424,1,3.0618192096965124,1,2120323.92
734.1612968251189,2,6.197420178579342,0,6042703.85
76.46476162330083,1,6.957847016833763,1,567390.2
