area_sqft,thickness_mm,location,quality,cost
3881.0824403520187,15,0,2,242642.01
2222.448276772659,20,2,2,343757.12
4300.059703561343,15,0,2,258978.71
3501.9717438438515,12,0,2,188400.13
516.1778720438651,10,1,2,29631.58
4879.330640601942,15,2,1,388592.09
3817.641524852247,20,2,2,563129.05
3941.018311120921,10,2,0,168073.0
684.1624817439521,10,1,2,38588.0
2279.4103925830573,15,2,2,209930.48
1885.4502199512772,15,0,1,90254.17
4637.486694800579,12,0,1,184506.15
3237.1323443992897,10,2,1,182948.57
4122.669985690609,12,1,2,275405.98
2244.9002841952893,15,0,0,80184.86
1174.8316728346456,10,1,2,66856.58
2795.194695728382,15,0,2,186121.54
365.89541771566786,20,1,0,20002.71
4146.774301363282,10,2,0,170162.93
3176.738775654221,10,0,1,96473.35
3802.5343134226005,15,2,2,356480.14
1804.9035422428483,20,2,1,191908.9
4854.955220754771,10,1,0,134516.4
4470.949550544879,20,0,2,391777.03
3902.9983105151214,12,0,1,134997.84
1013.4616038672395,10,2,1,53187.08
2360.268968448819,12,1,1,110414.99
266.82864064678245,12,0,0,7395.96
813.7329857343617,12,1,2,53402.35
3431.0923185501506,15,2,1,263492.84
3736.5726717436946,10,1,2,192235.06
4839.173175549339,20,2,0,335047.79
1662.8355227838522,12,2,0,78074.46
1883.775544872601,20,0,0,83585.09
2374.3012658152493,20,1,1,169482.81
987.8832274672142,12,1,2,62029.95
693.1114514105847,10,2,2,46459.74
2404.739384818372,20,0,2,200245.87
1173.2012778018764,15,0,1,60041.5
3365.579273678426,12,0,0,88040.02
2213.9019984180372,10,1,1,99320.59
4171.757070486296,12,1,1,200065.94
3516.312254911133,15,1,0,149285.9
1596.2148748411032,15,2,0,98722.93
4169.686016906246,10,0,2,178688.15
4033.5835696091694,20,2,2,548893.56
1968.0179761993636,12,2,0,88293.24
1477.2241144547083,10,2,2,131043.74
3428.3527446761286,15,1,2,225624.8
741.7747938660835,15,2,0,42221.81
1039.545602251786,20,2,1,116539.06
86.44323526747729,10,1,0,2597.24
3945.275668635585,12,1,0,142194.17
3341.0117401305592,12,2,2,298846.72
3540.568624200359,15,2,2,394089.7
3914.608703558741,20,2,2,542328.94
2321.6330889147825,10,2,1,127599.52
2865.268919966824,15,1,2,234516.91
741.9951407319044,12,1,2,49262.02
616.9238640030685,12,2,0,26213.27
3358.5946608628346,20,1,1,255909.8
2381.926220408506,15,2,1,178688.27
2847.9187270818848,10,1,0,78215.43
3836.7443442093268,12,2,0,160982.77
3191.8556840029246,15,2,2,358129.69
2790.2180332570792,10,2,2,186629.41
2818.075445689797,15,0,2,168874.66
1554.5529854099304,12,0,1,60485.82
202.54828111130007,10,0,1,6068.86
2211.7510767001936,20,0,2,199696.05
1112.1941304566694,12,1,0,39784.13
2072.216786436949,12,0,1,82007.08
4274.345212677422,10,1,2,216918.0
1208.0004550334368,10,0,0,27156.98
338.5985713608768,10,2,0,13297.76
1442.8502655088828,15,2,1,99936.11
1503.2891009450839,12,2,2,130006.54
3326.4867478981305,12,0,2,173232.41
2807.309154089328,15,0,0,107050.22
3930.296135076747,12,1,2,226880.78
3338.3520246205685,12,2,1,201007.54
2061.614964128349,12,1,1,99841.61
4079.4009040968717,20,0,0,207435.74
876.5159535431344,20,0,0,43095.78
162.42476201260936,12,0,1,5957.65
495.7369108394267,12,2,0,22847.25
3625.678785452429,12,2,1,240290.08
2336.2922897443677,10,2,0,93707.38
848.2953062163289,15,1,0,40254.98
2530.1716367616496,15,0,0,81731.14
803.9449084301837,12,2,2,76921.08
3496.785856634793,12,1,1,157178.57
2258.473564091452,20,1,2,248616.08
1936.0550691775882,10,1,2,100758.06
1542.4848412819888,20,0,0,71645.28
3169.898835938498,15,1,0,135525.89
1840.9724222392827,20,2,1,214482.93
483.86710061469995,15,0,2,28711.82
634.1292154965508,20,0,1,35452.11
4811.393439520097,15,0,1,214310.33
4547.474419002655,15,1,2,342737.47
3513.55031236321,12,0,1,139838.82
1366.0563092246218,20,1,2,145999.59
4847.423067871233,12,2,1,309831.48
3904.8169746306835,15,0,1,191094.35
3598.6064363370283,12,1,2,220301.11
2274.3394356117537,20,0,1,138600.34
1397.5957311335371,20,1,2,139481.69
527.1352626598215,10,0,0,12907.17
4517.881862892016,15,1,2,333230.03
2306.092634676375,15,1,0,86133.8
1051.69865573639,12,1,1,47745.6
1564.48528954573,12,2,1,107430.36
2917.136866262385,15,2,2,288781.41
925.025275549197,20,0,1,58267.77
4290.240706257258,12,0,1,151446.88
3804.67167268429,12,1,0,119354.34
3611.341631957137,20,2,0,256456.36
2188.8605468867636,20,1,1,180759.23
3155.1787614770938,15,0,0,96427.1
2941.2849461180413,15,2,1,254335.65
3266.740677696359,10,0,2,124481.84
467.999389642451,10,2,0,16689.65
2108.2466407445177,10,2,2,136283.47
255.99016061636777,12,0,1,9412.43
2495.2545552603688,10,2,2,195079.11
1682.8130010472873,12,1,1,78584.32
765.3947348869322,10,2,2,51972.51
561.8446902266306,20,2,0,44355.69
2958.8406322796745,12,1,2,179149.15
894.4351942575862,10,2,1,46619.9
4629.3445859651465,10,2,2,358097.81
2926.252641516955,10,2,1,159231.46
1767.0055324474436,15,0,1,86582.05
2975.031682833013,20,0,1,193827.19
162.87916159700262,12,0,1,5992.37
4794.868105545154,15,0,1,208394.46
2437.402012867356,10,1,2,137992.35
3924.539374888917,12,2,2,329381.05
459.51349961607093,10,2,0,18227.87
2458.958737648894,12,1,2,177639.72
2478.9996220548787,10,0,1,87111.04
4692.240952126165,20,2,0,355472.93
2880.053859261573,15,0,1,140141.78
2393.772535231921,20,1,0,129446.84
1371.529532304873,15,0,1,62607.37
1691.2665368456333,10,1,1,65494.36
