area_sqft,brick_size,location,floors,cost
1236.526513283576,0,2,4.0,102951.35
2546.2503632125686,1,0,4.0,134832.17
1949.4253229849987,0,2,5.0,160877.11
1390.6424425282707,0,1,4.0,104930.74
1678.1291173960115,0,1,5.0,107346.19
1283.0155714368327,1,1,6.0,74346.08
1986.172840058325,0,1,6.0,135636.03
491.0850346049637,1,1,1.0,21638.15
1635.03091273592,1,2,3.0,111492.86
2894.2903360930095,1,1,4.0,159227.41
38.751329574979806,1,1,3.0,2386.87
447.05490634721565,1,2,3.0,32293.04
1108.5195049811052,0,1,1.0,65882.03
274.9251777984939,0,1,1.0,15557.83
1901.5722032626586,0,1,6.0,134269.76
2753.3494333115736,0,0,3.0,146970.22
430.30569570705137,0,0,4.0,23034.29
724.9400236097322,1,1,1.0,35013.63
2923.830996985261,0,2,4.0,236180.65
321.4178063122494,1,0,6.0,14482.61
1729.6539699530365,1,2,3.0,118552.77
2389.6082207428717,0,2,7.0,256711.73
2702.074617689513,0,0,2.0,121374.34
2880.274002165377,0,0,3.0,145121.59
1256.4183301698083,0,2,5.0,115660.55
2333.7084070904825,0,2,6.0,207440.42
1626.9155388175172,0,0,5.0,100125.06
1641.269146205538,1,2,5.0,129111.29
2858.238623757804,1,2,3.0,204221.19
2320.0702228216633,1,1,6.0,153102.19
109.98757889958036,0,0,6.0,5899.59
1311.3208795215946,1,1,6.0,81145.69
2250.5490471416597,1,0,4.0,99717.32
835.5378846678008,1,2,3.0,69708.77
2202.2856683968125,0,1,2.0,150741.03
1242.5803848995206,1,0,7.0,68694.47
1608.147652809393,0,2,6.0,150332.41
2725.7383190974065,1,2,4.0,213172.46
2565.144527801343,1,2,2.0,185538.04
1958.0961961179212,0,0,6.0,122758.07
1713.381767480189,0,2,6.0,166842.27
2313.218017349544,1,0,3.0,82407.32
1975.3101810346848,0,2,4.0,165059.16
2246.1940118335956,1,2,1.0,153963.36
2650.0902018533275,0,2,3.0,213348.02
383.9931815342797,1,0,4.0,19152.59
1617.002303878239,1,2,6.0,118318.66
861.5333280438373,0,1,3.0,56351.5
1214.402479682746,1,0,7.0,71003.48
2451.8147181802296,0,2,3.0,214570.06
1298.0404505778138,0,0,4.0,71583.91
2207.893510141233,0,0,5.0,117588.71
2982.522498088633,1,0,6.0,164724.07
1273.2196142250555,1,1,6.0,72596.36
2731.0147632828844,0,1,1.0,162907.82
2462.38091151825,1,2,4.0,173035.77
2979.749577903109,1,1,3.0,151239.57
2943.7319975218215,0,2,5.0,271741.5
851.6585407233451,0,0,6.0,49657.77
75.87752132987487,0,0,7.0,4487.9
1383.6159809456203,0,0,5.0,76201.18
457.8954888356208,1,2,7.0,36069.03
1906.4270989160684,1,0,3.0,89670.53
1548.1207873521328,1,2,4.0,116468.28
818.2303794276702,1,1,7.0,63308.02
2833.2317477085726,0,0,6.0,175200.36
860.3522393995629,0,1,3.0,55240.76
1181.9510305636065,0,1,4.0,76450.75
1119.8880583484577,0,2,3.0,89826.16
1084.7700454658086,1,2,1.0,71474.96
148.37639817834878,1,1,4.0,10116.73
1388.4497067871634,1,1,5.0,82374.24
2505.832164372825,0,1,2.0,146047.76
1338.214769913863,1,1,6.0,78412.34
2602.4602735622734,1,0,7.0,128574.97
2681.3141752342285,0,1,2.0,153475.51
1883.4953431868512,0,1,3.0,129024.8
1331.7023294419885,0,0,2.0,62337.58
1792.154004183795,0,2,1.0,144908.02
1412.6675934502694,1,2,5.0,124182.27
1602.8492670678434,0,0,5.0,84373.74
2087.062580971216,0,2,6.0,194145.68
1448.8877702520617,1,0,1.0,57809.93
2557.2104059242038,1,1,3.0,147490.75
2927.0265789136542,1,0,5.0,149195.3
2018.2695140231915,0,1,7.0,134073.5
2631.435190265923,0,2,7.0,229806.36
559.6664839218821,1,0,7.0,29987.49
1098.753276318329,0,2,3.0,97249.77
2115.8600649386085,1,1,3.0,127445.59
928.8371276568449,1,1,7.0,58695.25
1596.327503349126,1,1,2.0,79842.56
2815.7131969525703,1,2,3.0,195253.45
33.4431853763881,1,0,2.0,1383.54
2683.472403249459,1,2,7.0,208821.43
627.2734380298613,0,1,2.0,37189.87
2824.000804784063,0,0,7.0,183631.45
1088.9111027639424,0,0,7.0,56062.59
2936.0223283967107,0,1,4.0,194360.82
1912.3599841268885,0,0,4.0,102935.17
2068.6289685074253,1,2,6.0,183869.92
2900.8437516581503,1,0,2.0,116978.15
1917.630838261121,1,0,1.0,90808.91
424.91274738817935,0,0,6.0,22868.86
722.2177724334128,0,0,6.0,41951.82
630.5721280915678,1,0,2.0,24678.79
1834.2424754920628,0,2,2.0,136279.7
453.907033967257,1,1,6.0,29320.48
1132.3018632020169,0,1,4.0,75813.67
701.8700684570337,0,1,5.0,49701.69
89.90124491824581,0,1,1.0,4821.79
1198.6223565804091,1,0,3.0,58917.83
1844.0770905366746,0,1,6.0,135386.37
1351.5292161815107,0,2,4.0,115940.62
2408.5930832360814,1,1,2.0,129835.4
2475.8339080338337,0,0,2.0,129556.5
425.46071128248974,1,0,2.0,16848.72
2234.7591517497244,0,0,6.0,119179.66
2437.4847277498584,1,0,3.0,102949.96
1413.0539226383983,0,1,4.0,73224.89
788.9157393577294,0,0,7.0,41739.0
2619.991251686174,1,1,1.0,120128.06
1211.0299749316885,0,1,3.0,76232.15
662.5924221185029,1,1,5.0,38280.91
1966.4697478693806,0,0,4.0,112140.65
400.1105891926234,0,0,2.0,19203.74
1933.7468961140078,1,0,1.0,75588.94
785.9596229996986,1,1,2.0,39532.01
374.6038036920422,1,2,2.0,28900.46
1538.9407114464377,1,1,1.0,73423.72
299.7424226509422,0,1,2.0,18310.56
552.4585682110837,1,2,5.0,44524.0
2656.2251131250173,0,1,3.0,168790.13
2551.272455598578,1,2,2.0,156037.53
232.91092909516746,0,2,7.0,24484.59
2980.110613675558,0,0,2.0,139635.75
2642.4233475696456,0,1,4.0,153122.5
1544.1869596239887,1,2,2.0,106956.11
167.95031207148807,1,2,6.0,15170.06
1655.9986799403607,0,1,4.0,96952.75
974.8821360020179,1,1,5.0,59058.72
1640.4194022001438,0,2,4.0,137530.88
2908.552853030544,0,2,3.0,226253.82
1654.9446106818582,0,2,3.0,122222.83
883.4689261497631,0,1,2.0,54815.88
2479.4057482353674,0,1,4.0,164931.88
1511.261283211524,0,2,4.0,126753.5
2563.9037825388637,0,0,3.0,133532.11
2933.279723990222,0,2,5.0,267951.75
2641.398904555632,1,2,5.0,193202.76
722.5188172282752,1,0,1.0,27787.42
569.8910836486904,1,2,7.0,41151.63
2668.7458269247404,0,2,4.0,225576.69
2333.235443210014,0,2,2.0,197284.46
305.8904290442878,0,0,2.0,13854.15
888.568087365857,1,1,4.0,52627.39
2498.8113033379186,0,0,5.0,143518.27
2682.5415756109787,1,1,2.0,156784.44
2421.11126077483,1,2,6.0,202379.57
2202.9972487390087,1,0,4.0,103714.59
1266.084077731233,1,0,2.0,59473.46
269.80497369574016,0,0,2.0,13809.4
1000.1518606436225,0,0,6.0,59875.68
1095.2076533847617,0,2,7.0,95493.84
2786.60081309371,0,1,2.0,158395.03
2170.677799651994,0,0,3.0,116709.91
877.9762380670887,0,1,7.0,66048.5
1309.739584222294,1,1,7.0,88707.01
1120.5685866643528,0,2,2.0,94823.94
1264.172891765504,0,1,2.0,71897.49
1156.0611304320557,1,1,2.0,66955.52
837.206140270216,0,2,2.0,64669.27
2303.3454308130404,0,0,1.0,98123.81
1042.273743240722,1,0,4.0,47588.29
1092.0767940292887,1,2,1.0,68917.66
981.5721113554539,0,0,6.0,56843.16
1955.9754734484736,1,2,4.0,153270.79
1955.1937146047624,1,1,2.0,93347.53
2151.7783147594673,0,2,3.0,167733.21
